貝萊德美國特別時機基金 C2 美元
(BlackRock Global Fund - US Small & MidCap Opportunities Fund C2 USD)
舊名稱:
美林美國特別時機基金 C2 美元
BlackRock Global Fund - US Opportunities Fund C2 USD
日期	2012/06/24	2012/06/25	2012/06/26	2012/06/27	2012/06/28	2012/06/29	2012/06/30
淨值	--	--	--	--	--	98.440000	--

日期	2012/07/01	2012/07/02	2012/07/03	2012/07/04	2012/07/05	2012/07/06	2012/07/07
淨值	--	99.410000	99.960000	100.480000	99.980000	99.180000	--

日期	2012/07/08	2012/07/09	2012/07/10	2012/07/11	2012/07/12	2012/07/13	2012/07/14
淨值	--	98.410000	98.960000	97.380000	95.770000	97.620000	--

日期	2012/07/15	2012/07/16	2012/07/17	2012/07/18	2012/07/19	2012/07/20	2012/07/21
淨值	--	97.340000	97.950000	98.850000	99.560000	98.550000	--

日期	2012/07/22	2012/07/23	2012/07/24	2012/07/25	2012/07/26	2012/07/27	2012/07/28
淨值	--	96.480000	97.070000	96.470000	97.450000	98.220000	--

日期	2012/07/29	2012/07/30	2012/07/31	2012/08/01	2012/08/02	2012/08/03	2012/08/04
淨值	--	99.540000	98.950000	98.350000	97.280000	98.790000	--

日期	2012/08/05	2012/08/06	2012/08/07	2012/08/08	2012/08/09	2012/08/10	2012/08/11
淨值	--	99.400000	100.050000	100.200000	100.490000	100.190000	--

日期	2012/08/12	2012/08/13	2012/08/14	2012/08/15	2012/08/16	2012/08/17	2012/08/18
淨值	--	100.540000	100.570000	--	100.920000	102.050000	--

日期	2012/08/19	2012/08/20	2012/08/21	2012/08/22	2012/08/23	2012/08/24	2012/08/25
淨值	--	101.630000	102.160000	101.310000	100.930000	100.560000	--

日期	2012/08/26	2012/08/27	2012/08/28	2012/08/29	2012/08/30	2012/08/31	2012/09/01
淨值	--	101.040000	101.020000	101.030000	100.710000	100.940000	--

日期	2012/09/02	2012/09/03	2012/09/04	2012/09/05	2012/09/06	2012/09/07	2012/09/08
淨值	--	101.140000	100.960000	101.230000	102.420000	103.810000	--

日期	2012/09/09	2012/09/10	2012/09/11	2012/09/12	2012/09/13	2012/09/14	2012/09/15
淨值	--	103.840000	103.650000	103.720000	103.260000	105.780000	--

日期	2012/09/16	2012/09/17	2012/09/18	2012/09/19	2012/09/20	2012/09/21	2012/09/22
淨值	--	105.110000	104.410000	104.270000	103.710000	104.950000	--

日期	2012/09/23	2012/09/24	2012/09/25	2012/09/26	2012/09/27	2012/09/28	2012/09/29
淨值	--	103.920000	103.780000	102.110000	102.000000	101.950000	--

日期	2012/09/30	2012/10/01	2012/10/02	2012/10/03	2012/10/04	2012/10/05	2012/10/06
淨值	--	102.730000	102.700000	102.600000	103.240000	104.270000	--

日期	2012/10/07	2012/10/08	2012/10/09	2012/10/10	2012/10/11	2012/10/12	2012/10/13
淨值	--	103.350000	102.920000	101.780000	102.160000	101.660000	--

日期	2012/10/14	2012/10/15	2012/10/16	2012/10/17	2012/10/18	2012/10/19	2012/10/20
淨值	--	101.000000	102.570000	103.160000	103.360000	102.990000	--

日期	2012/10/21	2012/10/22	2012/10/23	2012/10/24	2012/10/25	2012/10/26	2012/10/27
淨值	--	101.680000	99.970000	100.810000	100.950000	100.440000	--

日期	2012/10/28	2012/10/29	2012/10/30	2012/10/31	2012/11/01	2012/11/02	2012/11/03
淨值	--	--	--	100.400000	--	102.020000	--

