基金代碼,基金名稱,日期,基金淨值
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-10-14,24.010000
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-10-15,24.190000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-10-14,21.000000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-10-15,21.240000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-10-14,16.930000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-10-15,17.260000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-10-14,14.810000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-10-15,15.160000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-10-14,20.700000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-10-15,21.100000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-10-14,21.060000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-10-15,21.460000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-10-14,25.390000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-10-15,25.540000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-10-14,28.800000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-10-15,29.180000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-10-14,25.180000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-10-15,25.620000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-10-14,21.260000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-10-15,21.540000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-10-14,28.950000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-10-15,28.950000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-10-14,25.320000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-10-15,25.420000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-10-14,27.670000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-10-15,27.660000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-10-14,13.510000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-10-15,13.500000
000AMESTAU,天利(盧森堡)-全球新興市場短期債券基金(美元),2015-10-14,15.420000
000AMESTAU,天利(盧森堡)-全球新興市場短期債券基金(美元),2015-10-15,15.440000
000AMESTAUE,天利(盧森堡)-全球新興市場短期債券基金(歐元),2015-10-14,13.480000
000AMESTAUE,天利(盧森堡)-全球新興市場短期債券基金(歐元),2015-10-15,13.560000
