類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	10.06	9.99	0.07
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	14.43	14.32	0.11
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	28.07	27.72	0.35
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	21.34	21.13	0.21
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	23.69	23.56	0.13
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	14.4	14.25	0.15
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.1983	12.198	0.0003
AA2	A0001	兆豐國際投信	25600852	兆豐國際巨龍領航基金	TWD	7.45	7.36	0.09
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	7.67	7.63	0.04
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	8.5	8.44	0.06
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	9.27	9.24	0.03
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	9.89	9.92	-0.03
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	9.89	9.92	-0.03
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.3266	9.3677	-0.0411
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.21	9.2505	-0.0405
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	16.89	16.71	0.18
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	10.65	10.59	0.06
AA1	A0001	兆豐國際投信	92003790	兆豐國際精選二十基金	TWD	10.56	10.44	0.12
AA1	A0003	第一金投信	00968521	第一金福元基金	TWD	7.16	7.1	0.06
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	173.843	173.84	0.003
AA1	A0003	第一金投信	01032803	第一金萬得福基金	TWD	10.27	10.15	0.12
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	15.81	15.72	0.09
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	16.31	16.06	0.25
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	13.05	12.95	0.1
AA1	A0003	第一金投信	19341318	第一金電子基金	TWD	19.01	18.84	0.17
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.8928	14.8926	0.0002
AA1	A0003	第一金投信	20092528	第一金店頭市場基金	TWD	6.71	6.66	0.05
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	13.5431	13.5796	-0.0365
AC23	A0003	第一金投信	25593418B	第一金全球高收益債券基金B	TWD	11.0203	11.05	-0.0297
AA2	A0003	第一金投信	25620512	第一金中國世紀基金	TWD	6.82	6.72	0.1
AA2	A0003	第一金投信	25652648	第一金亞洲新興市場基金	TWD	9.94	9.98	-0.04
AA1	A0003	第一金投信	26202396	第一金創新趨勢基金	TWD	11.37	11.25	0.12
AC21	A0003	第一金投信	26297013A	第一金新興市場投資等級債券基金A	TWD	9.3149	9.4187	-0.1038
AC21	A0003	第一金投信	26297013B	第一金新興市場投資等級債券基金B	TWD	8.4441	8.5381	-0.094
AA2	A0003	第一金投信	26333215	第一金全球品牌基金	TWD	11.65	11.56	0.09
AC21	A0003	第一金投信	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	9.4488	9.5271	-0.0783
AC21	A0003	第一金投信	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.2343	9.3108	-0.0765
AA2	A0003	第一金投信	31909908	第一金全球資源基金	TWD	9.58	9.59	-0.01
AA2	A0003	第一金投信	48712350	第一金旗艦基金	TWD	9.6	9.49	0.11
AG	A0003	第一金投信	48892846A	第一金全球不動產證券化基金A	TWD	6.9333	6.9224	0.0109
AG	A0003	第一金投信	48892846B	第一金全球不動產證券化基金B	TWD	5.6662	5.6572	0.009
AA1	A0003	第一金投信	48929409	第一金台灣成長基金	TWD	6.89	6.79	0.1
AA1	A0003	第一金投信	73989002	第一金小型精選基金	TWD	19.67	19.44	0.23
AA2	A0003	第一金投信	81593453	第一金全球台商基金	TWD	10.15	10.02	0.13
AA2	A0003	第一金投信	92010461	第一金馬來西亞基金	TWD	12.46	12.51	-0.05
AA1	A0003	第一金投信	97980043	第一金福王基金	TWD	10.39	10.26	0.13
AB1	A0003	第一金投信	99353151	第一金中概平衡基金	TWD	17.02	16.87	0.15
AB1	A0004	匯豐中華投信	00971080	匯豐安富基金	TWD	20.34	20.2	0.14
AA1	A0004	匯豐中華投信	01031298	匯豐龍鳳基金	TWD	35.05	34.62	0.43
AA2	A0004	匯豐中華投信	18031954	匯豐太平洋精典基金	TWD	12.89	12.78	0.11
AA2	A0004	匯豐中華投信	25500903	匯豐中國動力基金	TWD	10.08	9.91	0.17
AE22	A0004	匯豐中華投信	25617919	匯豐雙高收益債券組合基金	TWD	11.4545	11.4752	-0.0207
AA2	A0004	匯豐中華投信	25651866	匯豐黃金及礦業股票型基金	TWD	5.12	5.27	-0.15
AC21	A0004	匯豐中華投信	25695077A	匯豐資源豐富國家債券基金-累積型	TWD	9.6827	9.8173	-0.1346
AC21	A0004	匯豐中華投信	25695077B	匯豐資源豐富國家債券基金-月配型	TWD	8.0212	8.1558	-0.1346
AC23	A0004	匯豐中華投信	26286281A	匯豐亞洲高收益債券基金-累積型	TWD	10.7715	10.8108	-0.0393
AC23	A0004	匯豐中華投信	26286281B	匯豐亞洲高收益債券基金-月配型	TWD	9.5722	9.6114	-0.0392
AA2	A0004	匯豐中華投信	26335699	匯豐拉丁美洲基金	TWD	8.58	8.72	-0.14
AC23	A0004	匯豐中華投信	26396604A	匯豐中國點心高收益債券基金(台幣)	TWD	10.6922	10.6934	-0.0012
AC23	A0004	匯豐中華投信	26396604B	匯豐中國點心高收益債券基金(人民幣不配息)	CNY	2.1886	2.1859	0.0027
AC23	A0004	匯豐中華投信	26396604C	匯豐中國點心高收益債券基金(人民幣配息)	CNY	2.1886	2.1859	0.0027
AA2	A0004	匯豐中華投信	48686374	匯豐金磚動力基金	TWD	10.05	10	0.05
AE22	A0004	匯豐中華投信	48745129	匯豐五福全球債券組合基金	TWD	12.2046	12.2315	-0.0269
AA2	A0004	匯豐中華投信	48784327	匯豐新鑽動力基金	TWD	8.59	8.6	-0.01
AE21	A0004	匯豐中華投信	48865209	匯豐全球趨勢組合基金	TWD	9.51	9.47	0.04
AA2	A0004	匯豐中華投信	48925001	匯豐全球關鍵資源基金	TWD	7.07	7.08	-0.01
AA2	A0004	匯豐中華投信	48998019	匯豐全球新富基金	TWD	9.96	9.97	-0.01
AA1	A0004	匯豐中華投信	73987671	匯豐台灣精典基金	TWD	16.65	16.43	0.22
AA1	A0004	匯豐中華投信	76941376	匯豐成功基金	TWD	30.05	29.7	0.35
AA1	A0004	匯豐中華投信	92017794	匯豐龍騰電子基金	TWD	22.78	22.49	0.29
AD1	A0004	匯豐中華投信	92025871	匯豐富泰貨幣市場基金	TWD	15.5991	15.5989	0.0002
AD1	A0004	匯豐中華投信	97993027	匯豐富泰二號貨幣市場基金	TWD	14.7625	14.7623	0.0002
AA1	A0004	匯豐中華投信	97995664	匯豐中小基金	TWD	7.6	7.53	0.07
AA1	A0005	元大寶來投信	00974066	元大寶來2001基金	TWD	35.45	34.97	0.48
AA1	A0005	元大寶來投信	01032058	元大寶來多福基金	TWD	40.25	39.54	0.71
AH1	A0005	元大寶來投信	10342511	元大寶來新台灣基金	TWD	28.66	28.27	0.39
AA2	A0005	元大寶來投信	10348058	元大寶來全球農業商機基金	TWD	15.81	15.77	0.04
AD1	A0005	元大寶來投信	13530495	元大寶來得寶貨幣市場基金	TWD	11.7127	11.7125	0.0002
AA1	A0005	元大寶來投信	14542287	元大寶來精準中小基金	TWD	14.28	14.17	0.11
AA2	A0005	元大寶來投信	14696466	元大寶來全球成長基金	TWD	15.85	15.77	0.08
AA1	A0005	元大寶來投信	17139204	元大寶來新主流基金	TWD	16.37	16.21	0.16
AA1	A0005	元大寶來投信	17145070	元大寶來矽谷基金	TWD	10.09	9.96	0.13
AA2	A0005	元大寶來投信	17612481	元大寶來全球通訊基金	TWD	4.86	4.84	0.02
AA1	A0005	元大寶來投信	18036281	元大寶來巴菲特基金	TWD	17.53	17.36	0.17
AA1	A0005	元大寶來投信	20080023	元大寶來店頭基金	TWD	6.44	6.36	0.08
AD1	A0005	元大寶來投信	20081331	元大寶來萬泰貨幣市場基金	TWD	14.765	14.7647	0.0003
AG	A0005	元大寶來投信	21718388A	元大寶來全球不動產證券化基金(A)-不配息型	TWD	10.53	10.52	0.01
AG	A0005	元大寶來投信	21718388B	元大寶來全球不動產證券化基金(B)-配息型	TWD	8.08	8.08	0
AE23	A0005	元大寶來投信	21752548	元大寶來全球組合基金	TWD	11.3206	11.3351	-0.0145
AA2	A0005	元大寶來投信	25520400	元大寶來新中國基金	TWD	7.8	7.83	-0.03
AI2	A0005	元大寶來投信	25591306	元大寶來大中華價值指數基金	TWD	11.993	11.783	0.21
AH2	A0005	元大寶來投信	25610486	元大寶來標智滬深300基金	TWD	12.33	12.32	0.01
AA2	A0005	元大寶來投信	25622390	元大寶來印度基金	TWD	7.67	7.66	0.01
AE22	A0005	元大寶來投信	25638920A	元大寶來全球靈活配置債券組合基金(A)-不配息型	TWD	10.48	10.52	-0.04
AE22	A0005	元大寶來投信	25638920B	元大寶來全球靈活配置債券組合基金(B)-配息型	TWD	10.43	10.47	-0.04
AA2	A0005	元大寶來投信	25643156	元大寶來新興亞洲基金	TWD	8.21	8.2	0.01
AA2	A0005	元大寶來投信	25680222	元大寶來新興亞洲龍頭基金	TWD	10.38	10.37	0.01
AC21	A0005	元大寶來投信	25684830	元大寶來全球短期收益基金	TWD	9.8823	9.8958	-0.0135
AI2	A0005	元大寶來投信	26203825	元大寶來印度指數基金	TWD	6.985	7.011	-0.026
AI2	A0005	元大寶來投信	26203846	元大寶來印尼指數基金	TWD	9.749	9.624	0.125
AI2	A0005	元大寶來投信	26203851	元大寶來巴西指數基金	TWD	5.878	5.964	-0.086
AA2	A0005	元大寶來投信	26206323	元大寶來華夏中小基金	TWD	6.75	6.71	0.04
AH1	A0005	元大寶來投信	26282102	元大寶來富櫃50基金	TWD	11.5	11.43	0.07
AE22	A0005	元大寶來投信	26283518A	元大寶來新興市場債券組合基金-不配息型	TWD	10.3475	10.349	-0.0015
