
類型代號	公司代號	公司名稱	受益憑證代號	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	T0102Y	00965469	兆豐國際第一基金	TWD	12.55	12.6	-0.05
AB1	A0001	兆豐國際投信	T0105Y	00971976	兆豐國際萬全基金	TWD	16.47	16.48	-0.01
AA2	A0001	兆豐國際投信	T0104Y	00992769	兆豐國際全球基金	TWD	32.92	33.08	-0.16
AA1	A0001	兆豐國際投信	T0103Y	01050148	兆豐國際國民基金	TWD	22.9	22.86	0.04
AA1	A0001	兆豐國際投信	T0110Y	10341837	兆豐國際豐台灣基金	TWD	27.53	27.5	0.03
AA2	A0001	兆豐國際投信	T0109Y	14699772	兆豐國際生命科學基金	TWD	20.11	20.31	-0.2
AD1	A0001	兆豐國際投信	T0101Y	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.3123	12.3121	0.0002
AA2	A0001	兆豐國際投信	T0112Y	25637773	兆豐國際綠鑽基金	TWD	8.11	8.13	-0.02
AA2	A0001	兆豐國際投信	T0114Y	26278352	兆豐國際全球高股息基金	TWD	10.07	10.16	-0.09
AA2	A0001	兆豐國際投信	T0115Y	26299315	兆豐國際民生動力基金	TWD	10.19	10.26	-0.07
AE22	A0001	兆豐國際投信	T0116A	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.56	10.55	0.01
AE22	A0001	兆豐國際投信	T0116Y	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.53	10.52	0.01
AC23	A0001	兆豐國際投信	T0007A	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.5465	9.5579	-0.0114
AC23	A0001	兆豐國際投信	T0117B	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	8.7519	8.7623	-0.0104
AD2	A0001	兆豐國際投信	T0118Y	38522710	兆豐國際人民幣貨幣市場基金	CNY	10.2359	10.2351	0.0008
AA2	A0001	兆豐國際投信	T0119A	38592074A	兆豐國際中國A股基金(台幣)	TWD	13.54	13.75	-0.21
AA2	A0001	兆豐國際投信	T0119B	38592074B	兆豐國際中國A股基金(美金)	USD	12.91	13.12	-0.21
AA1	A0001	兆豐國際投信	T0108Y	73991751	兆豐國際電子基金	TWD	20.66	20.82	-0.16
AA1	A0001	兆豐國際投信	T0107Y	81584996	兆豐國際中小基金	TWD	12.65	12.66	-0.01
AD1	A0003	第一金投信	T0306Y	01032249	第一金全家福貨幣市場基金	TWD	175.29	175.288	0.002
AA2	A0003	第一金投信	T0331Y	10338642	第一金全球大趨勢基金	TWD	18.61	18.79	-0.18
AA1	A0003	第一金投信	T0318Y	15739619	第一金大中華基金	TWD	20.02	19.99	0.03
AA2	A0003	第一金投信	T0316Y	17612378	第一金亞洲科技基金	TWD	15.24	15.21	0.03
AA1	A0003	第一金投信	T0314Y	19341318	第一金電子基金	TWD	26.61	26.64	-0.03
AD1	A0003	第一金投信	T0310Y	20081472	第一金台灣貨幣市場基金	TWD	15.0218	15.0216	0.0002
AA1	A0003	第一金投信	T0311Y	20092528	第一金店頭市場基金	TWD	7.71	7.69	0.02
AC23	A0003	第一金投信	T0332A	25593418A	第一金全球高收益債券基金A	TWD	14.2185	14.2059	0.0126
AC23	A0003	第一金投信	T0332B	25593418B	第一金全球高收益債券基金B	TWD	10.5386	10.5293	0.0093
AC23	A0003	第一金投信	T0332C	25593418C	第一金全球高收益債券基金A-美元	USD	9.414	9.41	0.004
AC23	A0003	第一金投信	T0332D	25593418D	第一金全球高收益債券基金B-美元	USD	9.2391	9.2352	0.0039
AA2	A0003	第一金投信	T0334Y	25620512A	第一金中國世紀基金	TWD	9.22	9.35	-0.13
AA2	A0003	第一金投信	T0334A	25620512B	第一金中國世紀基金-人民幣	CNY	11.21	11.33	-0.12
AA2	A0003	第一金投信	T0335Y	25652648	第一金亞洲新興市場基金	TWD	11.86	11.92	-0.06
AA1	A0003	第一金投信	T0336Y	26202396	第一金創新趨勢基金	TWD	14.24	14.24	0
AC21	A0003	第一金投信	T0337A	26297013A	第一金新興市場投資等級債券基金A	TWD	9.4566	9.472	-0.0154
AC21	A0003	第一金投信	T0337B	26297013B	第一金新興市場投資等級債券基金B	TWD	7.7811	7.7938	-0.0127
AC21	A0003	第一金投信	T0341A	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	10.4043	10.3599	0.0444
AC21	A0003	第一金投信	T0341B	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.5871	9.5461	0.041
AA2	A0003	第一金投信	T0342Y	31909908	第一金全球資源基金	TWD	9.1	9	0.1
AB2	A0003	第一金投信	T0343A	38539992A	第一金全球多重資產入息平衡基金(累積型)	TWD	10.292	10.3105	-0.0185
AB2	A0003	第一金投信	T0343B	38539992B	第一金全球多重資產入息平衡基金(配息型)	TWD	10.1726	10.1908	-0.0182
AD2	A0003	第一金投信		38646796A	第一金人民幣貨幣市場基金-新臺幣	TWD	9.9601	0	9.9601
AD2	A0003	第一金投信		38646796B	第一金人民幣貨幣市場基金-人民幣	CNY	10.0005	0	10.0005
AG	A0003	第一金投信	T0326A	48892846A	第一金全球不動產證券化基金A	TWD	8.2501	8.2852	-0.0351
AG	A0003	第一金投信	T0326B	48892846B	第一金全球不動產證券化基金B	TWD	6.4564	6.4838	-0.0274
AA1	A0003	第一金投信	T0313Y	73989002	第一金小型精選基金	TWD	24.64	24.66	-0.02
AB1	A0003	第一金投信	T0320Y	99353151	第一金中概平衡基金	TWD	19.82	19.82	0
AB1	A0004	匯豐中華投信	T0405Y	00971080	匯豐安富基金	TWD	22.6	22.66	-0.06
AA1	A0004	匯豐中華投信	T0408Y	01031298	匯豐龍鳳基金	TWD	41.67	41.88	-0.21
AA2	A0004	匯豐中華投信	T0417Y	18031954	匯豐太平洋精典基金	TWD	14.68	14.69	-0.01
AA2	A0004	匯豐中華投信	T0436Y	25500903	匯豐中國動力基金	TWD	14.34	14.45	-0.11
AE22	A0004	匯豐中華投信	T0438Y	25617919	匯豐雙高收益債券組合基金	TWD	11.7453	11.7448	0.0005
AA2	A0004	匯豐中華投信	T0439Y	25651866	匯豐黃金及礦業股票型基金	TWD	5.16	5.07	0.09
AC21	A0004	匯豐中華投信	T0440A	25695077A	匯豐資源豐富國家債券基金-累積型	TWD	9.8047	9.8468	-0.0421
AC21	A0004	匯豐中華投信	T0440B	25695077B	匯豐資源豐富國家債券基金-月配型	TWD	7.4084	7.4504	-0.042
AC23	A0004	匯豐中華投信	T0443A	26286281A	匯豐亞洲高收益債券基金-累積型	TWD	11.2416	11.2154	0.0262
AC23	A0004	匯豐中華投信	T0443B	26286281B	匯豐亞洲高收益債券基金-月配型	TWD	9.2129	9.1866	0.0263
AA2	A0004	匯豐中華投信	T0447Y	26335699	匯豐拉丁美洲基金	TWD	7.92	8.15	-0.23
AC23	A0004	匯豐中華投信	T0449Y	26396604A	匯豐中國點心高收益債券基金(台幣不配息)	TWD	10.8838	10.912	-0.0282
AC23	A0004	匯豐中華投信	T0449A	26396604B	匯豐中國點心高收益債券基金(人民幣不配息)	CNY	2.2474	2.2456	0.0018
AC23	A0004	匯豐中華投信	T0449B	26396604C	匯豐中國點心高收益債券基金(人民幣配息)	CNY	2.1204	2.1186	0.0018
AC23	A0004	匯豐中華投信	T0449C	26396604D	匯豐中國點心高收益債券基金(台幣配息)	TWD	10.4887	10.5159	-0.0272
AC23	A0004	匯豐中華投信	T0449D	26396604E	匯豐中國點心高收益債券基金(美元不配息)	USD	0.357	0.358	-0.001
AC23	A0004	匯豐中華投信	T0449E	26396604F	匯豐中國點心高收益債券基金(美元配息)	USD	0.3437	0.3447	-0.001
AA2	A0004	匯豐中華投信	T0453Y	38482745	匯豐中國A股匯聚基金	TWD	12.75	12.88	-0.13
AA2	A0004	匯豐中華投信	T0425Y	48686374	匯豐金磚動力基金	TWD	12.37	12.56	-0.19
AE22	A0004	匯豐中華投信	T0427Y	48745129	匯豐五福全球債券組合基金	TWD	13.1025	13.0875	0.015
AA2	A0004	匯豐中華投信	T0428Y	48784327	匯豐新鑽動力基金	TWD	10.01	10.07	-0.06
AE21	A0004	匯豐中華投信	T0429Y	48865209	匯豐全球趨勢組合基金	TWD	10.53	10.68	-0.15
AA2	A0004	匯豐中華投信	T0431Y	48925001	匯豐全球關鍵資源基金	TWD	7.53	7.5	0.03
AA1	A0004	匯豐中華投信	T0415Y	73987671	匯豐台灣精典基金	TWD	19.73	19.83	-0.1
AA1	A0004	匯豐中華投信	T0406Y	76941376	匯豐成功基金	TWD	32.34	32.33	0.01
AA1	A0004	匯豐中華投信	T0410Y	92017794	匯豐龍騰電子基金	TWD	28.38	28.6	-0.22
AD1	A0004	匯豐中華投信	T0411Y	92025871	匯豐富泰貨幣市場基金	TWD	15.7072	15.707	0.0002
AD1	A0004	匯豐中華投信	T0413Y	97993027	匯豐富泰二號貨幣市場基金	TWD	14.8671	14.8669	0.0002
AA1	A0004	匯豐中華投信	T0414Y	97995664	匯豐中小基金	TWD	8.56	8.59	-0.03
AA1	A0005	元大寶來投信	T0567Y	00974066	元大寶來2001基金	TWD	50.29	50.37	-0.08
AA1	A0005	元大寶來投信	T0502Y	01032058	元大寶來多福基金	TWD	50.89	51.04	-0.15
AH1	A0005	元大寶來投信	0060	10342511	元大寶來新台灣基金	TWD	31.7	31.86	-0.16
AA2	A0005	元大寶來投信	T0553Y	10348058	元大寶來全球農業商機基金	TWD	17.01	17.14	-0.13
AD1	A0005	元大寶來投信	T0571Y	13530495	元大寶來得寶貨幣市場基金	TWD	11.8165	11.8163	0.0002
AA1	A0005	元大寶來投信	T0572Y	14542287	元大寶來精準中小基金	TWD	17.49	17.51	-0.02
AA2	A0005	元大寶來投信	T0519Y	14696466	元大寶來全球成長基金	TWD	18.05	18.22	-0.17
AA1	A0005	元大寶來投信	T0513Y	17139204	元大寶來新主流基金	TWD	18.94	18.98	-0.04
AA1	A0005	元大寶來投信	T0516Y	18036281	元大寶來巴菲特基金	TWD	21.37	21.4	-0.03
AA1	A0005	元大寶來投信	T0506Y	20080023	元大寶來店頭基金	TWD	7.33	7.34	-0.01
AD1	A0005	元大寶來投信	T0507Y	20081331	元大寶來萬泰貨幣市場基金	TWD	14.896	14.8957	0.0003
AG	A0005	元大寶來投信	T0576A	21718388A	元大寶來全球不動產證券化基金(A)-不配息型	TWD	11.84	11.85	-0.01
AG	A0005	元大寶來投信	T0576B	21718388B	元大寶來全球不動產證券化基金(B)-配息型	TWD	8.86	8.87	-0.01
AA2	A0005	元大寶來投信	T0556Y	25520400	元大寶來新中國基金	TWD	8.42	8.49	-0.07
AI2	A0005	元大寶來投信	T0581Y	25591306	元大寶來大中華價值指數基金	TWD	15.463	15.5	-0.037
AH2	A0005	元大寶來投信	0061	25610486	元大寶來標智滬深300基金	TWD	17.1	17.3	-0.2
AA2	A0005	元大寶來投信	T0557Y	25622390	元大寶來印度基金	TWD	10.92	11.09	-0.17
AE22	A0005	元大寶來投信	T0583A	25638920A	元大寶來全球靈活配置債券組合基金(A)-不配息型	TWD	11.03	11.01	0.02
AE22	A0005	元大寶來投信	T0583B	25638920B	元大寶來全球靈活配置債券組合基金(B)-配息型	TWD	10.98	10.96	0.02
AA2	A0005	元大寶來投信	T0558Y	25643156	元大寶來新興亞洲基金	TWD	9.86	9.91	-0.05
AI2	A0005	元大寶來投信	T0586Y	26203825	元大寶來印度指數基金	TWD	9.877	10.044	-0.167
AI2	A0005	元大寶來投信	T0587Y	26203846	元大寶來印尼指數基金	TWD	9.505	9.544	-0.039
AI2	A0005	元大寶來投信	T0585Y	26203851	元大寶來巴西指數基金	TWD	5.324	5.548	-0.224
AA2	A0005	元大寶來投信	T0560Y	26206323	元大寶來華夏中小基金	TWD	7.55	7.65	-0.1
AH1	A0005	元大寶來投信	006201	26282102	元大寶來富櫃50基金	TWD	12.39	12.39	0
AE22	A0005	元大寶來投信	T0561A	26283518A	元大寶來新興市場債券組合基金-不配息型	TWD	10.8798	10.8712	0.0086
AE22	A0005	元大寶來投信	T0561B	26283518B	元大寶來新興市場債券組合基金-配息型	TWD	9.4526	9.4452	0.0074
AC21	A0005	元大寶來投信	T0588A	26297576A	元大寶來全球國富債券基金(A)-不配息型	TWD	8.7143	8.7258	-0.0115
AC21	A0005	元大寶來投信	T0588B	26297576B	元大寶來全球國富債券基金(B)-配息型	TWD	6.8543	6.8634	-0.0091
AH1	A0005	元大寶來投信	006203	26306553	元大寶來摩臺基金	TWD	32.52	32.83	-0.31
AI1	A0005	元大寶來投信	T0564Y	26307568	元大寶來台股指數基金	TWD	10.953	11.022	-0.069
AA2	A0005	元大寶來投信	T0589Y	26326707	元大寶來新興市場ESG策略基金	TWD	11.92	12.02	-0.1
AC23	A0005	元大寶來投信	T0566Y	26394367	元大寶來中國高收益點心債券基金	TWD	10.8995	10.9231	-0.0236
AB2	A0005	元大寶來投信	T0591Y	31830473A	元大寶來中國平衡基金-新台幣	TWD	11.55	11.67	-0.12
AB2	A0005	元大寶來投信	T0591A	31830473B	元大寶來中國平衡基金-人民幣	CNY	2.3	2.32	-0.02
AH2	A0005	元大寶來投信	006206	31830488	元大寶來上證50基金	TWD	28.98	29.35	-0.37
AI2	A0005	元大寶來投信	T0593A	31931789A	元大寶來亞太政府公債指數基金(A)-不配息型	TWD	9.3197	9.3219	-0.0022
AI2	A0005	元大寶來投信	T0593B	31931789B	元大寶來亞太政府公債指數基金(B)-配息型	TWD	8.6955	8.6976	-0.0021
AC21	A0005	元大寶來投信	T0594A	38546950A	元大寶來中國機會債券基金-新台幣	TWD	10.5263	10.5371	-0.0108
AC21	A0005	元大寶來投信	T0594B	38546950B	元大寶來中國機會債券基金-人民幣(A)不配息	CNY	10.0932	10.0815	0.0117
AC21	A0005	元大寶來投信	T0594C	38546950C	元大寶來中國機會債券基金-人民幣(B)配息	CNY	10.007	9.9954	0.0116
AD2	A0005	元大寶來投信	T0595A	38546966A	元大寶來人民幣貨幣市場基金-新台幣	TWD	10.5798	10.6022	-0.0224
AD2	A0005	元大寶來投信	T0595B	38546966B	元大寶來人民幣貨幣市場基金-人民幣	CNY	10.1591	10.1582	0.0009
