name,code
元大寶來全球靈活配置債券組合基金(A)-不配息型,25638920A
元大寶來台灣卓越50基金,98764389
匯豐中國動力基金,25500903
凱基亞洲四金磚基金,48997927
新光福運平衡基金,99975518
新光全球ETF組合基金(A類型),38489297A
富邦中國ETF傘型基金之富邦上証180單日反向一倍基金,38633027
聯博收益成長傘型之聯博歐洲收益成長平衡基金-A2類型,38633201A
永豐人民幣債券基金-人民幣累積類型,42267705C
野村環球高收益債基金-月配類型新臺幣計價,38480612B
德信新興股票組合基金,31896050
復華中國新經濟平衡基金-人民幣B,42303499C
第一金全球高收益債券基金B-美元,25593418D
復華華人世紀基金,10374246
群益華夏盛世基金-人民幣,25629892C
富邦中國債券傘型之富邦中國優質債券基金-B類型(人民幣),31946404B
富邦精準基金,92002384
群益中國金采平衡基金A(累積型－新台幣),42301416A
國泰收益傘型基金之全球多重收益平衡基金-美元A(不配息型),38582842C
群益全球不動產平衡基金-A(累積型),48898594A
匯豐黃金及礦業股票型基金,25651866
華南永昌多重資產入息平衡基金(月配美元),38618790D
聯博收益成長傘型之聯博亞太收益成長平衡基金-A2類型,38633217A
中國信託多元入息平衡基金B(配息),38530388B
合庫全球高收益債券基金A類型(美元),31890485C
復華奧林匹克全球優勢組合基金,48952512
中國信託全球新興市場策略債券基金A(不配息),31996797A
未來資產亞洲新富基金,26378535
合庫全球高收益債券基金B類型(人民幣),31890485H
凱基亞太高股息基金,38533667
元大寶來店頭基金,20080023
聯博全球高收益債券基金-TA類型(澳幣),38654486E
第一金小型精選基金,73989002
德盛安聯四季成長組合基金-美元,38552137B
兆豐國際電子基金,73991751
凱基新興趨勢ETF組合基金,25691430
德盛安聯目標收益基金-B類型(月配息)-美元,38647774D
摩根新興活利債券基金-累積型,26297196A
元大寶來萬泰貨幣市場基金,20081331
景順人民幣新興亞太入息基金月配型新台幣,38522556B
富邦新興亞洲高成長基金,26321920
野村全球美元投資級公司債基金-月配型新臺幣計價,25624144B
宏利全球入息動態組合基金-B類型(新臺幣),38530129B
復華全球消費基金,31980113
保德信貨幣市場基金,97978047
德盛安聯目標收益基金-B類型(月配息)-人民幣,38647774F
新光店頭基金,73998071
復華中國新經濟A股基金-新臺幣,42303511A
富蘭克林華美第一富基金,15733973
宏利美元高收益債券基金-B類型(人民幣避險),42267986D
元大寶來人民幣貨幣市場基金-人民幣,38546966B
國泰紐幣八年期保本基金,31939641
摩根亞洲總合高收益債券基金-月配息型(人民幣),26376229D
新光全球ETF組合基金(B類型),38489297B
永豐大中華基金,10397629
保德信第一基金,20097447
德盛安聯目標收益基金-A類型(累積)-新臺幣,38647774A
富蘭克林華美中華基金,25515602
復華中國新經濟平衡基金-人民幣A,42303499B
摩根東方科技基金,20096209
國泰亞洲成長基金台幣級別,38600412A
日盛中國高收益債券基金(人民幣B),38648871D
永豐新興市場企業債券基金-人民幣月配類型,31909604D
保德信台商全方位基金,13528977
宏利亞太中小企業基金(美元),25677726C
華南永昌全球精品基金,48824897
中國信託台灣優勢基金,48809501
摩根新興日本基金,92005896
富蘭克林華美新興趨勢傘型基金之積極回報債券組合基金-分配型,25687674B
合庫新興多重收益基金B類型,31972676B
施羅德樂活中小基金-I類型,48948834B
德盛安聯全球人口趨勢基金,48937267
摩根安家理財基金,98661139
摩根總收益組合基金-月配息型,26279269B
兆豐國際全球高股息基金,26278352
復華亞太成長基金,48837540
惠理康和美元平衡收益基金B類型,38491420B
國泰中國傘型基金之人民幣貨幣市場基金美元級別,38482908B
永豐永豐基金,81594690
日盛亞洲高收益債券基金A,31827147A
野村歐洲高股息基金累積型,99975165A
保德信人民幣貨幣市場基金-新臺幣,38648274A
摩根縱橫台商基金,48929098
群益大中華雙力優勢基金,26385629
復華全球短期收益基金,25590496
富邦農糧精選基金,26302085
野村積極成長基金,01031564
日盛貨幣市場基金,81580387
群益環球金綻雙喜B(月配型-美元),38648529D
柏瑞新興市場高收益債券基金-B類型,25682798B
摩根多元入息成長基金月配息型(人民幣),38612682D
瀚亞亞太不動產證券化基金A類型,48836541A
新光亞洲精選基金,15743509
柏瑞旗艦全球成長組合基金,29229530
野村全球高股息基金-累積類型人民幣計價,94988015C
華南永昌多重資產入息平衡基金(累積新台幣),38618790A
宏利中國點心高收益債券基金-A類型(美元),26325600A
群益工業國入息基金A(累積型-人民幣),38531773F
第一金電子基金,19341318
群益美國新創亮點基金-新臺幣,38486685A
惠理康和中國點心高收益債券人民幣A基金,31835391E
保德信瑞騰基金,20089122
德盛安聯多元計量平衡基金,48865952
貝萊德寶利基金,19330712
元大寶來全球ETF成長組合基金,48789815
匯豐雙高收益債券組合基金,25617919
瀚亞高科技基金,92003102
元大寶來台股指數基金,26307568
摩根泛亞太股票入息基金月配息型,38532914B
日盛中國高收益債券基金(美元A),38648871E
匯豐資源豐富國家債券基金-累積型,25695077A
柏瑞巨輪貨幣市場基金,73992978
永豐高科技基金,17152509
元大寶來巴菲特基金,18036281
聯邦精選科技基金,17597236
台新亞澳高收益債券基金(月配息型)-USD,31829551D
保德信亞洲新興市場債券基金-月配息型(B),26320990B
群益環球金綻雙喜B(月配型-澳幣),38648529F
未來資產新興市場債券基金A,31939614A
合庫全球高收益債券基金A類型,31890485A
兆豐國際第一基金,00965469
華南永昌全球基礎建設基金(配息),48878669B
復華新興人民幣債券基金B,31939229B
復華南非幣長期收益基金B,31901899B
國泰科技生化基金,14705562
富邦全球投資等級債券基金-B類型,26275812B
合庫全球高收益債券基金A類型(澳幣),31890485E
宏利亞太入息債券基金-C類型(新臺幣),25630146C
宏利亞澳入息成長平衡基金-B類型(澳幣避險),38585186F
保德信拉丁美洲基金,25674811
瀚亞縱橫全球高收益債券基金B類型,31902573B
野村平衡基金,17602250
群益環球金綻雙喜B(月配型-南非幣),38648529H
惠理康和ETF入息組合基金A-台幣,38533012A
統一經建基金,81581724
德盛安聯亞洲動態策略基金,99337168
宏利新興市場高收益債券基金-C類型(美元),26258187I
復華滬深300A股基金,31835478
瀚亞新興豐收基金B-南非幣,42266017H
景順台灣科技基金,73989256
第一金中概平衡基金,99353151
柏瑞全球策略高收益債券基金-B類型,10340936B
新光國家建設基金,81580149
復華貨幣市場基金,73980446
元大寶來新台灣基金,10342511
野村鑫平衡組合基金,99364447
野村亞太複合高收益債基金-累積型新臺幣計價,26310557A
國泰新興高收益債券基金(新台幣)-配息B,26331835B
群益中國金采平衡基金A(累積型－美元),42301416C
復華數位經濟基金,17608487
宏利亞太入息債券基金-A類型(新臺幣),25630146A
匯豐五福全球債券組合基金,48745129
華南永昌金磚高收益債券基金(月配美元),31824578F
野村全球不動產證券化基金累積型新臺幣計價,21758780A
國泰中國內需增長基金美元級別,26317735B
宏利美元高收益債券基金-B類型(新臺幣),42267986B
施羅德中國高收益債券基金(美元)-累積型,31825598C
摩根泛亞太股票入息基金累積型,38532914A
元大寶來上證50基金,31830488
宏利新興市場高收益債券基金-A類型(新臺幣),26258187A
台新中國傘型基金之台新中証消費服務領先指數基金,38527497
德銀遠東DWS多元集利組合基金分配型,25594177B
華南永昌前瞻科技基金,92016839
國泰策略高收益債券基金A,31913488A
聯博全球高收益債券基金-TA類型(人民幣),38654486D
瀚亞全球高收益債券基金A-澳幣,26257384F
富蘭克林華美新興趨勢傘型基金之天然資源組合基金,25687668
統一亞太基金,18030553
摩根絕對日本基金,48727760
保德信新興市場債券基金-月配息型(B),26263055B
匯豐中國A股匯聚基金(台幣),38482745A
華頓新興亞太債券基金B,31828693B
匯豐中國點心高收益債券基金(台幣不配息),26396604A
復華復華基金,81587889
保德信歐洲組合基金,48844280
摩根金龍收成基金,10348445
日盛亞洲高收益債券基金B,31827147B
景順人民幣新興亞太入息基金累積型美元,38522556C
群益中國高收益債券基金-美元,38621459B
第一金亞洲新興市場基金,25652648
元大寶來全球ETF穩健組合基金,99967974
台新真吉利貨幣市場基金,99949293
國泰中小成長基金,18043059
景順主流基金,17140568
群益環球金綻雙喜A(累積型-新台幣),38648529A
華頓新興亞太債券基金A,31828693A
聯博新興市場企業債券基金-A2類型(美元),31936709C
群益全球關鍵生技基金-美元,38486708B
華南永昌麒麟貨幣市場基金,13989817
第一金人民幣貨幣市場基金-新臺幣,38646796A
