name,code
天達環球策略基金-環球特許品牌基金F累積股份,GFF902
摩根美元貨幣基金-摩根美元貨幣(美元)-A股(累計),UMMAAU
法儲銀漢瑞斯全球股票基金R-AUSD,LU0130103400
天達環球策略基金-環球特許品牌基金I累積股份,GFF904
天達環球策略基金-環球特許品牌基金I收益股份,GFF905
匯豐環球投資基金-歐元區小型公司股票ID,TEESD
富達基金－歐元現金基金,LU0064964074
法儲銀盧米斯賽勒斯美國探索基金R-DUSD,LU0130493355
匯豐環球投資基金-歐元區小型公司股票IC,TEESC
匯豐環球投資基金-歐元區小型公司股票AD,TEESA
富達基金-富達歐元目標TM基金2030,LU0215159145
富蘭克林坦伯頓全球投資系列-潛力歐洲基金歐元A(acc)股,0836
富蘭克林坦伯頓全球投資系列-泰國基金美元A(acc)股,0830
富蘭克林坦伯頓全球投資系列-東歐基金歐元A(acc)股,0833
聯博-房貸收益基金BTX級別美元,ABSMDBTUSD
安盛羅森堡Alpha基金-安盛羅森堡泛歐大型企業Alpha基金B,AXARPEEB
富蘭克林坦伯頓全球投資系列-穩定月收益基金美元A(Mdis)股,0839
霸菱全球農業基金-A類英鎊,BASAA
景順能源基金C股美元,2060CC
利安資金新馬基金(新元),SCLF
貝萊德新能源基金C2美元,BLKMNECC
美盛布蘭迪全球機會固定收益基金A類股美元累積型,IE00B3QFCM59
聯博-歐洲價值型基金A股歐元,ABEVPAEUR
法巴百利達澳洲股票基金C(澳幣),LU0111482476
富蘭克林坦伯頓全球投資系列-全球債券基金美元A(acc)股,0549
美盛西方資產全球多重策略基金優類股歐元累積型(避險),IE00B23Z8121
利安資金新馬基金(美元),SCLU
鋒裕基金-環球高收益B股南非幣收益(穩定配息),PIMGHYZIBSD
貝萊德美國增長型基金A2歐元,BLKGROEA
天達環球策略基金-環球特許品牌基金C累積股份,GFF908
鋒裕基金-環球生態A2(歐元),PIMGECU
GAMStar日本股票基金累積單位-歐元,IE0003012535
天達環球策略基金-新興市場多重收益基金C收益-2股份(月配),EMA758
天達環球策略基金-新興市場多重收益基金A收益-2股份(澳幣避險IRD，月配),EMA757
匯豐環球投資基金-歐元區小型公司股票AC,TEESB
東方匯理系列基金全球通膨連結債券基金SHU,AFBGISHU
