基金名稱,基金英文名稱,基金種類,基金投資區域,基金規模,基金幣別,基金總代理名稱,境外基金機構
天利(盧森堡)-環球資產配置基金I(美元),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSIU-USD,平衡型(混合型)-平衡型(混合型),全球-混合,0.031203,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-環球資產配置基金I(歐元),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSIU-EUR,平衡型(混合型)-平衡型(混合型),全球-混合,0.929489,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金(美元),Threadneedle(Lux)-AMERICANSELECT-CLASSAU-USD,股票型-一般型,單一國家-美國,5.678162,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金(歐元),Threadneedle(Lux)-AMERICANSELECT-CLASSAU-EUR,股票型-一般型,單一國家-美國,0.337035,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金(歐元避險),Threadneedle(Lux)-AMERICANSELECT-CLASSAEH-EUR,股票型-一般型,單一國家-美國,0.575032,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金I(歐元避險),Threadneedle(Lux)-AMERICANSELECT-CLASSIEH,股票型-一般型,單一國家-美國,0.352804,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金I(美元),Threadneedle(Lux)-AMERICANSELECT-CLASSIU,股票型-一般型,單一國家-美國,0,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金I(歐元),Threadneedle(Lux)-AMERICANSELECT-CLASSIU-EUR,股票型-一般型,單一國家-美國,0,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場公司債券基金I(歐元避險),Threadneedle(Lux)-EMERGINGMARKETCORPORATEBONDS-CLASSIEH-EUR,固定收益型-新興市場債,全球-新興市場,9.081035,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球能源股票基金(美元),Threadneedle(Lux)-GLOBALENERGYEQUITIES-CLASSAU-USD,股票型-能源,全球-混合,12.065143,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
